,vehicle_id,vehicle_type,depart_time,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
0,230,pickup_p1,1493596820.0,2243.0,2243.0,17592367653395.0,,110.3274836,19.9771667,110.3274836,19.9771667
1,334,reposition,1493597560.0,2390.0,2243.0,,,110.3242171,20.0017526,110.3274836,19.9771667
2,169,reposition,1493597970.0,2390.0,2243.0,,,110.3242171,20.0017526,110.3274836,19.9771667
3,189,reposition,1493597970.0,2390.0,2243.0,,,110.3242171,20.0017526,110.3274836,19.9771667
4,134,reposition,1493597610.0,3223.0,2243.0,,,110.2944066,19.9998084,110.3274836,19.9771667
5,21,delivery_p1,1493598906.0599136,1085.0,2243.0,17592367731759.0,17592367883890.0,110.3443467,19.9804333,110.3274836,19.9771667
6,334,pickup_p2,1493598000.0,2245.0,2243.0,17592367764540.0,17592367845531.0,110.3269156,19.9853225,110.3274836,19.9771667
7,50,reposition,1493599540.0,480.0,2243.0,,,110.3430179,20.0330107,110.3274836,19.9771667
8,389,pickup_p1,1493599550.0,1089.0,2243.0,17592367992741.0,,110.3196287,19.9782962,110.3274836,19.9771667
9,230,failed_ridepooling,1493596817.0,2243.0,997.0,17592367653395.0,,110.3274836,19.9771667,110.3808548,19.9830621
10,386,pickup_p1,1493600360.0,2127.0,997.0,17592368133941.0,,110.3782511,19.986373,110.3808548,19.9830621
11,334,pickup_p1,1493597890.0,2243.0,2245.0,17592367764540.0,,110.3274836,19.9771667,110.3269156,19.9853225
12,134,pickup_p1,1493598330.0,2243.0,2245.0,17592367767705.0,,110.3274836,19.9771667,110.3269156,19.9853225
13,115,reposition,1493597670.0,3223.0,2245.0,,,110.2944066,19.9998084,110.3269156,19.9853225
14,119,reposition,1493597810.0,3223.0,2245.0,,,110.2944066,19.9998084,110.3269156,19.9853225
15,344,pickup_p1,1493599180.0,1085.0,2245.0,17592367917274.0,,110.3443467,19.9804333,110.3269156,19.9853225
16,319,delivery_p2,1493599180.0,1567.0,2245.0,17592367948877.0,17592367948877.0,110.3258981,20.0639458,110.3269156,19.9853225
17,224,reposition,1493597850.0,3300.0,2245.0,,,110.3077774,20.0095656,110.3269156,19.9853225
