,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
0,89,pickup_p1,2017-05-01 00:00:55.000000000,1493596855.0,2389.0,2389.0,17592367572118,,110.3418919,20.0473513,110.3418919,20.0473513
1,126,pickup_p2,2017-05-01 00:03:35.000000000,1493597015.0,2389.0,2389.0,17592367501490,17592367501490.0,110.3418919,20.0473513,110.3418919,20.0473513
2,126,pickup_p1,2017-05-01 00:03:25.000000000,1493597005.0,412.0,2389.0,17592367501490,,110.341176,20.0472457,110.3418919,20.0473513
3,126,delivery_p2,2017-05-01 00:03:40.000000000,1493597020.0,2389.0,3694.0,17592367501490,17592367501490.0,110.3418919,20.0473513,110.4625777,19.9416606
4,110,delivery_p1,2017-05-01 01:05:03.578809088,1493600703.578809,1058.0,3694.0,17592368280308,17592368348494.0,110.3461814,19.9888816,110.4625777,19.9416606
5,91,pickup_p1,2017-05-01 00:02:25.000000000,1493596945.0,3835.0,3694.0,17592367490350,,110.4604107,19.9420465,110.4625777,19.9416606
6,70,delivery_p1,2017-05-01 00:27:16.871395072,1493598436.871395,3435.0,3694.0,17592367537052,17592367721287.0,110.3660652,20.0082413,110.4625777,19.9416606
7,126,delivery_p1,2017-05-01 00:46:21.754183168,1493599581.754183,3694.0,3694.0,17592367501490,17592367501490.0,110.4625777,19.9416606,110.4625777,19.9416606
8,67,delivery_p1,2017-05-01 00:43:22.075753728,1493599402.0757537,3694.0,3694.0,17592360216531,17592360216531.0,110.4625777,19.9416606,110.4625777,19.9416606
9,36,delivery_p1,2017-05-01 01:05:22.774431744,1493600722.7744317,3694.0,3694.0,17592367880772,17592367880772.0,110.4625777,19.9416606,110.4625777,19.9416606
10,45,delivery_p1,2017-05-01 01:04:06.852169728,1493600646.8521698,3694.0,3694.0,17592367912532,17592367912532.0,110.4625777,19.9416606,110.4625777,19.9416606
