,vehicle_id,vehicle_type,depart_time,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord,start_time,relative_time,relative_seconds
36,89,pickup_p1,2017-05-01 00:01:00.000000000,2389.0,2389.0,17592367572118.0,,110.3418919,20.0473513,110.3418919,20.0473513,2017-05-01 00:00:17,0 days 00:00:43,43.0
384,29,reposition,2017-05-01 00:02:20.000000000,1770.0,3223.0,,,110.2901767,20.0202475,110.2944066,19.9998084,2017-05-01 00:00:17,0 days 00:02:03,123.0
370,15,reposition,2017-05-01 00:02:20.000000000,64.0,3223.0,,,110.3233426,20.0078761,110.2944066,19.9998084,2017-05-01 00:00:17,0 days 00:02:03,123.0
37,89,pickup_p2,2017-05-01 00:03:30.000000000,2389.0,2389.0,17592367572118.0,17592367501490.0,110.3418919,20.0473513,110.3418919,20.0473513,2017-05-01 00:00:17,0 days 00:03:13,193.0
38,89,delivery_p1,2017-05-01 00:03:30.000000000,2389.0,1373.0,17592367572118.0,17592367501490.0,110.3418919,20.0473513,110.3615289,20.0364717,2017-05-01 00:00:17,0 days 00:03:13,193.0
1163,29,pickup_p1,2017-05-01 00:05:30.000000000,3223.0,2678.0,17592367671090.0,,110.2944066,19.9998084,110.2804135,19.9913703,2017-05-01 00:00:17,0 days 00:05:13,313.0
1212,15,pickup_p1,2017-05-01 00:08:20.000000000,3223.0,2679.0,17592367588092.0,,110.2944066,19.9998084,110.2803676,19.9933808,2017-05-01 00:00:17,0 days 00:08:03,483.0
1580,29,pickup_p2,2017-05-01 00:10:00.000000000,2678.0,1750.0,17592367671090.0,17592367552093.0,110.2804135,19.9913703,110.2678435,20.0042058,2017-05-01 00:00:17,0 days 00:09:43,583.0
1995,29,delivery_p1,2017-05-01 00:10:00.000000000,1750.0,35.0,17592367671090.0,17592367552093.0,110.2678435,20.0042058,110.3228425,20.0212155,2017-05-01 00:00:17,0 days 00:09:43,583.0
330,89,delivery_p2,2017-05-01 00:10:17.554227200,1373.0,3694.0,17592367572118.0,17592367501490.0,110.3615289,20.0364717,110.4625777,19.9416606,2017-05-01 00:00:17,0 days 00:10:00.554227200,600.5542272
1846,15,pickup_p2,2017-05-01 00:11:50.000000000,2679.0,1748.0,17592367588092.0,17592367706424.0,110.2803676,19.9933808,110.2806238,20.0035368,2017-05-01 00:00:17,0 days 00:11:33,693.0
1504,15,delivery_p2,2017-05-01 00:11:50.000000000,1748.0,803.0,17592367588092.0,17592367706424.0,110.2806238,20.0035368,110.2900341,20.0125741,2017-05-01 00:00:17,0 days 00:11:33,693.0
1253,15,delivery_p1,2017-05-01 00:15:20.923975168,803.0,1331.0,17592367588092.0,17592367706424.0,110.2900341,20.0125741,110.3388606,20.0250458,2017-05-01 00:00:17,0 days 00:15:03.923975168,903.923975168
1997,29,delivery_p2,2017-05-01 00:29:02.216981504,35.0,461.0,17592367671090.0,17592367552093.0,110.3228425,20.0212155,110.3354183,20.0084362,2017-05-01 00:00:17,0 days 00:28:45.216981504,1725.216981504
291,15,reposition,2017-05-01 00:31:50.000000000,803.0,3214.0,,,110.2900341,20.0125741,110.2778451,19.984437,2017-05-01 00:00:17,0 days 00:31:33,1893.0
1784,29,reposition,2017-05-01 00:36:30.000000000,461.0,1574.0,,,110.3354183,20.0084362,110.3247685,20.0427159,2017-05-01 00:00:17,0 days 00:36:13,2173.0
260,15,reposition,2017-05-01 00:40:00.000000000,3214.0,3404.0,,,110.2778451,19.984437,110.3042334,20.0184176,2017-05-01 00:00:17,0 days 00:39:43,2383.0
1157,89,reposition,2017-05-01 00:45:10.000000000,3694.0,2143.0,,,110.4625777,19.9416606,110.3322275,20.0104305,2017-05-01 00:00:17,0 days 00:44:53,2693.0
1480,29,reposition,2017-05-01 00:45:30.000000000,1574.0,3664.0,,,110.3247685,20.0427159,110.3732897,20.0120743,2017-05-01 00:00:17,0 days 00:45:13,2713.0
1374,15,reposition,2017-05-01 00:51:50.000000000,3404.0,1772.0,,,110.3042334,20.0184176,110.3011871,20.0244527,2017-05-01 00:00:17,0 days 00:51:33,3093.0
1455,15,reposition,2017-05-01 00:58:40.000000000,1772.0,720.0,,,110.3011871,20.0244527,110.2039842,20.013936,2017-05-01 00:00:17,0 days 00:58:23,3503.0
