,Unnamed: 0,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day
11,422462,17592368066368,2017-05-01 08:36:06,2017-05-01 08:31:15,110.4634,19.9369,110.3412,19.9904,2017,5,1
76,422527,17592367714348,2017-05-01 08:13:11,2017-05-01 08:11:03,110.3429,20.032,110.3586,20.0079,2017,5,1
77,422528,17592367767705,2017-05-01 08:25:27,2017-05-01 08:20:19,110.3432,20.0401,110.3312,19.984,2017,5,1
78,422529,17592367873770,2017-05-01 08:23:31,2017-05-01 08:22:00,110.2814,20.0084,110.2938,19.967,2017,5,1
79,422530,17592368001913,2017-05-01 08:48:08,2017-05-01 08:41:38,110.3755,19.9775,110.34,19.9849,2017,5,1
80,422531,17592368168398,2017-05-01 08:46:37,2017-05-01 08:42:04,110.3776,20.0026,110.3452,20.0273,2017,5,1
141,422592,17592367922222,2017-05-01 08:36:13,2017-05-01 08:33:00,110.4634,19.9369,110.3382,20.0378,2017,5,1
142,422593,17592367938366,2017-05-01 08:44:35,2017-05-01 08:36:26,110.3669,20.0009,110.3539,20.0426,2017,5,1
143,422594,17592367974570,2017-05-01 08:40:16,2017-05-01 08:31:58,110.2777,19.9805,110.3397,19.9849,2017,5,1
144,422595,17592368105740,2017-05-01 08:51:50,2017-05-01 08:39:35,110.1827,20.0549,110.3093,20.0314,2017,5,1
145,422596,17592368278279,2017-05-01 08:53:08,2017-05-01 08:51:25,110.2794,19.979,110.2813,20.0119,2017,5,1
212,422663,17592368298603,2017-05-01 09:00:14,2017-05-01 08:55:35,110.3078,20.0101,110.292,19.9815,2017,5,1
323,422774,17592367785049,2017-05-01 08:24:20,2017-05-01 08:21:42,110.3003,19.9791,110.2823,20.0033,2017,5,1
399,422850,17592368234202,2017-05-01 09:01:15,2017-05-01 08:55:31,110.3437,19.9844,110.3201,20.0277,2017,5,1
458,422909,17592367536989,0000-00-00 00:00:00,2017-05-01 08:05:12,110.3433,19.9841,110.2015,20.0116,2017,5,1
459,422910,17592367540905,2017-05-01 08:08:50,2017-05-01 08:05:32,110.3342,20.0311,110.3543,19.9924,2017,5,1
460,422911,17592367866812,2017-05-01 08:25:13,2017-05-01 08:20:21,110.2045,19.9754,110.285,20.0072,2017,5,1
461,422912,17592368353150,2017-05-01 08:56:28,2017-05-01 08:55:03,110.3487,20.0159,110.4355,19.9678,2017,5,1
531,422982,17592367795174,2017-05-01 08:20:34,2017-05-01 08:18:30,110.2886,20.0017,110.3778,20.0245,2017,5,1
532,422983,17592367853816,2017-05-01 08:19:55,2017-05-01 08:17:13,110.34,20.001,110.3273,20.0295,2017,5,1
533,422984,17592368284539,2017-05-01 09:03:15,2017-05-01 08:52:42,110.307,20.0102,110.2845,19.9969,2017,5,1
534,422985,17592368471324,2017-05-01 09:02:58,2017-05-01 08:59:47,110.2936,20.0241,110.301,20.0155,2017,5,1
656,423107,17592367232444,2017-05-01 07:57:40,2017-05-01 08:10:00,110.4634,19.9369,110.3418,20.0723,2017,5,1
657,423108,17592367491637,2017-05-01 08:07:34,2017-05-01 08:01:10,110.3433,19.9841,110.2137,20.0507,2017,5,1
658,423109,17592368130334,2017-05-01 08:48:27,2017-05-01 08:44:35,110.2897,20.0127,110.2329,20.0046,2017,5,1
660,423111,17592368453334,2017-05-01 08:58:29,2017-05-01 08:56:06,110.4671,19.9825,110.4375,19.9668,2017,5,1
719,423170,17592367594727,2017-05-01 08:10:05,2017-05-01 08:04:45,110.3644,20.019,110.3641,20.0111,2017,5,1
720,423171,17592367622859,2017-05-01 08:16:26,2017-05-01 08:11:58,110.4634,19.9369,110.372,20.0301,2017,5,1
791,423242,17592368075028,2017-05-01 08:37:47,2017-05-01 08:33:08,110.3465,20.0531,110.3669,20.0289,2017,5,1
866,423317,17592367497153,0000-00-00 00:00:00,2017-05-01 08:01:40,110.3398,20.0298,110.3345,20.05,2017,5,1
927,423378,17592367595129,0000-00-00 00:00:00,2017-05-01 08:10:50,110.4634,19.9369,110.3761,20.0041,2017,5,1
928,423379,17592367832244,2017-05-01 08:35:10,2017-05-01 08:27:14,110.3014,19.9946,110.3559,20.0437,2017,5,1
929,423380,17592368372059,2017-05-01 09:07:48,2017-05-01 08:58:56,110.2794,19.979,110.3314,20.0339,2017,5,1
1058,423509,17592367774745,2017-05-01 08:25:14,2017-05-01 08:20:52,110.3031,20.0216,110.3271,20.0281,2017,5,1
1121,423572,17592367693906,2017-05-01 08:08:25,2017-05-01 08:05:50,110.3162,20.0106,110.2869,19.982,2017,5,1
1256,423707,17592367541963,2017-05-01 08:07:23,2017-05-01 08:05:54,110.3366,20.0697,110.3619,20.0289,2017,5,1
1257,423708,17592367714622,2017-05-01 08:14:58,2017-05-01 08:11:07,110.3569,20.0688,110.3286,20.0655,2017,5,1
1258,423709,17592368309812,2017-05-01 09:00:18,2017-05-01 08:57:54,110.3254,20.0213,110.278,20.0018,2017,5,1
1325,423776,17592368055545,2017-05-01 08:51:17,2017-05-01 08:47:11,110.2654,19.9974,110.2815,20.0115,2017,5,1
1397,423848,17592368170578,2017-05-01 08:48:56,2017-05-01 08:42:30,110.3159,20.0337,110.2663,20.0058,2017,5,1
1478,423929,17592367852807,2017-05-01 08:23:05,2017-05-01 08:16:58,110.3702,20.0281,110.3762,19.9911,2017,5,1
1479,423930,17592367888242,2017-05-01 08:27:24,2017-05-01 08:25:23,110.2911,20.0073,110.2963,20.025,2017,5,1
1480,423931,17592368145417,2017-05-01 08:51:22,2017-05-01 08:47:30,110.3433,19.9841,110.3765,19.9967,2017,5,1
1545,423996,17592368462364,2017-05-01 09:00:54,2017-05-01 08:57:58,110.33,19.9955,110.3521,20.069,2017,5,1
1679,424130,17592367718926,2017-05-01 08:17:14,2017-05-01 08:12:13,110.2897,20.0127,110.2565,20.0042,2017,5,1
1733,424184,17592367542472,2017-05-01 08:09:49,2017-05-01 08:06:02,110.2874,20.0048,110.2979,20.0163,2017,5,1
1734,424185,17592367595829,2017-05-01 08:13:51,2017-05-01 08:10:54,110.3009,19.9792,110.3117,20.0012,2017,5,1
1735,424186,17592367842025,0000-00-00 00:00:00,2017-05-01 08:26:07,110.2891,19.9783,110.3572,20.0199,2017,5,1
1736,424187,17592368237553,0000-00-00 00:00:00,2017-05-01 08:53:48,110.3732,20.0116,110.396,20.0231,2017,5,1
1799,424250,17592367674669,2017-05-01 08:28:58,2017-05-01 08:19:41,110.3627,20.0409,110.355,20.0515,2017,5,1
1978,424429,17592368159350,0000-00-00 00:00:00,2017-05-01 08:40:14,110.3608,20.0103,110.4073,20.044,2017,5,1
2049,424500,17592368093766,2017-05-01 08:43:53,2017-05-01 08:37:06,110.3433,19.9836,110.3712,20.0236,2017,5,1
2115,424566,17592367916094,0000-00-00 00:00:00,2017-05-01 08:31:40,110.3159,20.0337,110.3063,20.0137,2017,5,1
2116,424567,17592368360054,2017-05-01 08:59:41,2017-05-01 08:56:28,110.2848,20.0168,110.3566,20.0264,2017,5,1
2331,424782,17592340652349,2017-05-01 08:10:32,2017-05-01 08:20:00,110.4634,19.9369,110.4145,20.0604,2017,5,1
2337,424788,17592367335354,0000-00-00 00:00:00,2017-05-01 08:00:00,110.3156,20.0235,110.3285,20.0088,2017,5,1
2338,424789,17592367701741,2017-05-01 08:25:11,2017-05-01 08:21:50,110.3752,19.9819,110.382,20.0202,2017,5,1
2339,424790,17592368214313,2017-05-01 08:55:28,2017-05-01 08:52:13,110.3518,20.0231,110.3721,20.012,2017,5,1
2400,424851,17592368075085,2017-05-01 08:50:15,2017-05-01 08:48:31,110.383,19.9794,110.3627,19.9863,2017,5,1
2459,424910,17592367592826,2017-05-01 08:06:02,2017-05-01 08:04:16,110.3159,20.0337,110.3318,20.0166,2017,5,1
2460,424911,17592368142731,2017-05-01 08:51:56,2017-05-01 08:47:05,110.3459,20.0449,110.3468,20.0521,2017,5,1
2461,424912,17592368280964,0000-00-00 00:00:00,2017-05-01 08:51:58,110.3752,20.0137,110.3564,20.0207,2017,5,1
2529,424980,17592368150824,2017-05-01 08:45:03,2017-05-01 08:38:29,110.3619,20.0418,110.327,20.0355,2017,5,1
2671,425122,17592367947897,2017-05-01 08:40:41,2017-05-01 08:37:56,110.4634,19.9369,110.3409,20.0281,2017,5,1
2737,425188,17592368039814,2017-05-01 08:51:11,2017-05-01 08:45:30,110.3549,20.0515,110.3305,20.0333,2017,5,1
2806,425257,17592367642389,2017-05-01 08:19:44,2017-05-01 08:14:45,110.3527,20.0302,110.3679,20.0237,2017,5,1
2807,425258,17592367694737,2017-05-01 08:25:10,2017-05-01 08:21:18,110.3264,20.0615,110.3321,20.0286,2017,5,1
2808,425259,17592367794628,2017-05-01 08:33:08,2017-05-01 08:18:22,110.3488,19.9183,110.3445,19.9991,2017,5,1
2873,425324,17592367890579,2017-05-01 08:28:08,2017-05-01 08:25:55,110.2383,20.0355,110.3198,19.976,2017,5,1
2874,425325,17592368087334,2017-05-01 08:44:47,2017-05-01 08:35:45,110.2884,19.9932,110.3244,20.0009,2017,5,1
2875,425326,17592368281182,2017-05-01 08:56:09,2017-05-01 08:52:01,110.2897,20.0127,110.3528,20.0365,2017,5,1
2949,425400,17592387302850,0000-00-00 00:00:00,2017-05-02 08:00:00,110.3178,20.0253,110.3141,20.0051,2017,5,1
3025,425476,17592368053317,2017-05-01 08:51:43,2017-05-01 08:47:02,110.322,20.0279,110.2967,20.0259,2017,5,1
3026,425477,17592368240991,2017-05-01 09:07:20,2017-05-01 08:56:54,110.3162,20.0106,110.3023,20.0123,2017,5,1
3027,425478,17592368344798,2017-05-01 08:55:54,2017-05-01 08:53:20,110.3411,20.0248,110.3401,19.9786,2017,5,1
3106,425557,17592367589077,2017-05-01 08:14:45,2017-05-01 08:10:20,110.3365,20.0405,110.3013,20.0162,2017,5,1
