,from_node_id,geometry,length,link_id,link_type,to_node_id
0,0,"LINESTRING (110.3699741 19.9422497, 110.3685605 19.9422823, 110.3673282 19.9422744, 110.3664558 19.942263)",367.81472483474664,0.0,1.0,1
1,0,"LINESTRING (110.4102721 19.9437568, 110.4091602 19.9437659, 110.4087598 19.9437716, 110.4079018 19.9438011, 110.4073291 19.9438227, 110.4068335 19.9438532, 110.4063652 19.9438757, 110.4058968 19.9439021, 110.4050493 19.9439702, 110.4046273 19.944009, 110.4040233 19.9440738, 110.4031908 19.9441679, 110.4022686 19.9442866, 110.4013353 19.94443, 110.4003739 19.9445864, 110.399554 19.9447031, 110.3986609 19.9448239, 110.3977626 19.9449237, 110.3946961 19.9451661, 110.393259 19.9452218, 110.3923686 19.9452328, 110.391409 19.9452278, 110.3904524 19.9452086, 110.3875716 19.945059, 110.386642 19.9449958, 110.3840099 19.9446944, 110.3813027 19.9442362, 110.378643 19.9436608, 110.3758193 19.943057, 110.3748106 19.9428994, 110.3724666 19.9424955, 110.37052 19.9422779, 110.3699741 19.9422497)",4250.863970043776,1.0,1.0,279
2,0,"LINESTRING (110.3699741 19.9422497, 110.3691041 19.9422137, 110.3665085 19.9421725, 110.3664302 19.9421709)",370.5631922749978,2.0,1.0,947
3,1,"LINESTRING (110.3664558 19.942263, 110.3650048 19.9423054, 110.3640379 19.9423664, 110.363399 19.9424018, 110.362754 19.9424298, 110.3625419 19.9424372)",409.61291669987236,3.0,1.0,216
4,2,"LINESTRING (110.335875 20.0014649, 110.3359627 20.0007384)",81.30119050525069,4.0,2.0,3
5,2,"LINESTRING (110.335833 20.0016665, 110.335875 20.0014649)",22.842420678233385,5.0,2.0,163
6,2,"LINESTRING (110.3351012 20.0011554, 110.335875 20.0014649)",87.87252657741053,6.0,3.0,886
7,2,"LINESTRING (110.335875 20.0014649, 110.3361523 20.0015813)",31.734006558414656,7.0,3.0,887
8,3,"LINESTRING (110.3359627 20.0007384, 110.3364409 19.9967779)",443.2131126995824,8.0,2.0,4
9,3,"LINESTRING (110.3351012 20.0011554, 110.3354825 20.0011318, 110.3356702 20.001094, 110.3358419 20.0009188, 110.3359627 20.0007384)",110.16962548020322,9.0,2.0,886
10,3,"LINESTRING (110.3359627 20.0007384, 110.3358006 20.0002997, 110.3362405 19.9964888, 110.336115 19.9958945)",545.2482216769066,10.0,2.0,2114
11,4,"LINESTRING (110.3364409 19.9967779, 110.336507 19.9962508)",59.01640645250312,11.0,2.0,5
