,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.product_id,dwv_order_make_haikou_1.city_id,dwv_order_make_haikou_1.district,dwv_order_make_haikou_1.county,dwv_order_make_haikou_1.type,dwv_order_make_haikou_1.combo_type,dwv_order_make_haikou_1.traffic_type,dwv_order_make_haikou_1.passenger_count,dwv_order_make_haikou_1.driver_product_id,dwv_order_make_haikou_1.start_dest_distance,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.pre_total_fee,dwv_order_make_haikou_1.normal_time,dwv_order_make_haikou_1.bubble_trace_id,dwv_order_make_haikou_1.product_1level,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day,O_location,D_location
422461,17592367569051,3,83,898,460106,0,0,0,0,3,4737,2017-05-01 08:03:09,2017-05-01 07:57:41,14,12.0,6446a135590679f5b91a2ac8eefe3502,3,110.3608,20.0103,110.3433,20.0399,2017,5,1,194.0,2400.0
422462,17592368066368,3,83,898,460106,0,0,6,0,3,17703,2017-05-01 08:36:06,2017-05-01 08:31:15,49,20.0,6647594288b3eb998d1dcc35104a0303,3,110.4634,19.9369,110.3412,19.9904,2017,5,1,1078.0,3694.0
422527,17592367714348,3,83,898,460107,0,0,0,0,3,4925,2017-05-01 08:13:11,2017-05-01 08:11:03,14,9.0,6445623c59067d173a6f8aaac3431b02,3,110.3429,20.032,110.3586,20.0079,2017,5,1,2660.0,480.0
422528,17592367767705,3,83,898,460106,0,0,0,0,3,9352,2017-05-01 08:25:27,2017-05-01 08:20:19,24,17.0,6446a13559067f4077132ad9fef97e02,3,110.3432,20.0401,110.3312,19.984,2017,5,1,2245.0,194.0
422529,17592367873770,3,83,898,460106,0,0,0,0,3,5980,2017-05-01 08:23:31,2017-05-01 08:22:00,16,10.0,9230d65b59067fa6000035bc803b6ff3,3,110.2814,20.0084,110.2938,19.967,2017,5,1,3033.0,824.0
422530,17592368001913,3,83,898,460106,0,0,0,0,3,4699,2017-05-01 08:48:08,2017-05-01 08:41:38,13,9.0,644553335906843e438e75b6f8e4cf02,3,110.3755,19.9775,110.34,19.9849,2017,5,1,2692.0,995.0
422531,17592368168398,3,83,898,460108,0,0,0,0,3,8620,2017-05-01 08:46:37,2017-05-01 08:42:04,22,17.0,64469f355906845b6a31447df898cc02,3,110.3776,20.0026,110.3452,20.0273,2017,5,1,477.0,541.0
422592,17592367922222,3,83,898,460106,0,0,6,0,3,21972,2017-05-01 08:36:13,2017-05-01 08:33:00,62,39.0,a47ed3761f6136e2d102101d10350303,3,110.4634,19.9369,110.3382,20.0378,2017,5,1,487.0,3694.0
422593,17592367938366,3,83,898,460108,0,0,0,0,3,7377,2017-05-01 08:44:35,2017-05-01 08:36:26,20,11.0,64469f3459068309be397a87ee110b02,3,110.3669,20.0009,110.3539,20.0426,2017,5,1,1348.0,1051.0
422594,17592367974570,3,83,898,460106,0,0,0,0,3,8474,2017-05-01 08:40:16,2017-05-01 08:31:58,22,22.0,64469f34590681fe56137a88df05c202,3,110.2777,19.9805,110.3397,19.9849,2017,5,1,2692.0,1101.0
