OD_id,matching_prob,ride_distance,detour_distance,shared_distance,saved_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,saved_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker
0,0.9999812098202842,7200.508812741671,1291.4266566263627,4443.483774001973,2399.3023328525414,7479.903030452745,1570.8208743374373,4828.194424160615,2602.4221559830057,6647.704316438549,738.6221603232398,2744.341860174628,1483.4559161100353
1,0.994992160055699,2239.3732784275826,707.2140376717366,1641.1301619047356,-431.22469988923706,3157.1159821456567,1624.9567413898126,1854.967132858356,-1194.5888976655126,1660.2251394416762,128.06589868582844,980.004400516096,-5.4632507909180035
2,0.97193230928699,5814.585567060899,1100.804176195963,3186.9944805083423,1355.1017046210457,6080.044937439282,1366.2635465743433,3259.1775301469565,1369.899959055079,5229.8703880296225,516.0889971646845,1792.175320022967,768.8302624661299
3,0.9000433404073775,5743.778046485358,1052.313434133577,2556.3597920937286,509.4743393788791,5543.440700167719,851.9760878159373,2711.163806744407,574.7350698508244,5264.182910227614,572.718297875835,1030.1890533751157,185.94396325785482
4,0.9999564808655256,6363.618469409481,1108.7063936026284,4329.101244748368,2244.1256161215197,6815.5700038751775,1560.6579280683284,4734.41199191623,2157.5716346536024,5904.253155771835,649.341079964983,2935.570599472197,1609.064240516252
5,0.99999520815773,8131.2176650487,1218.7506448147235,4598.378647839406,2672.010206621294,8332.922233289568,1420.4552130556128,4878.089896357182,2959.4023266193803,7649.234594464511,736.767574230533,2943.1650760054454,1667.8378769568887
6,0.999855655766786,7821.151293741366,1080.6564591951892,5185.947440576606,3212.9017896396954,8170.379629443349,1429.8847948971738,5387.562211191969,3065.7176939038436,7247.081193826256,506.5863592800797,3022.9491431506567,1982.0775518188714
7,0.9730388713980934,1021.2928821925641,281.46377007085596,761.3369149719651,-729.7227094933112,1575.8576654308026,836.0285533090952,811.0913895086852,-824.3100637581589,757.1391541531718,17.310042031463755,505.06239722812336,-469.2715854973074
8,0.9998837995256524,5343.825200305274,444.1137919065137,3554.3201055802424,2164.1309600851077,5547.118185872509,647.4067774737468,3509.4929502621626,1981.310552254929,4962.708071534515,62.9966631357554,1488.3425421937181,997.7678400925545
9,0.9983758975287599,6836.5433471462975,1171.3144550515697,4389.272645401588,2214.911523338131,7350.138140685056,1684.9092485903366,4696.15819051348,2251.0953738191783,6022.8777259471335,357.6488338524046,2121.433903029802,1127.8269119564964
