,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,12,pickup_p1,1494547209.9,1494547250.4367857,475.0,33.0,17592567641144,
1,66,pickup_p1,1494547209.9,1494547210.745365,1342.0,1343.0,17592567786971,
2,1,pickup_p1,1494547219.9,1494547220.0,3571.0,3571.0,17592567643056,
3,60,pickup_p1,1494547229.9,1494547230.0,1588.0,1588.0,17592567854475,
4,132,pickup_p1,1494547229.9,1494547341.0185037,632.0,1328.0,17592567853955,
5,199,pickup_p1,1494547229.9,1494547473.5648274,860.0,2119.0,17592567853620,
6,52,pickup_p1,1494547249.9,1494547299.1802106,2244.0,2245.0,17592567650409,
7,99,pickup_p1,1494547249.9,1494547275.6397555,3303.0,3302.0,17592567792654,
8,209,pickup_p1,1494547249.9,1494547250.0,2666.0,2666.0,17592567653557,
9,15,pickup_p1,1494547259.9,1494547260.0,2404.0,2404.0,17592567658517,
10,135,pickup_p1,1494547259.9,1494547292.924824,1516.0,1519.0,17592567745917,
11,58,pickup_p1,1494547269.9,1494547568.4892173,141.0,983.0,17592567658893,
12,0,pickup_p1,1494547279.9,1494547389.1322174,421.0,1567.0,17592567861762,
13,31,pickup_p1,1494547279.9,1494547311.1970139,3835.0,3694.0,17592567750881,
14,32,pickup_p1,1494547279.9,1494547280.0,130.0,130.0,17592567796984,
15,230,pickup_p1,1494547279.9,1494547298.291063,432.0,1557.0,17592567797219,
16,15,pickup_p2,1494547289.9,1494547404.9038928,2404.0,186.0,17592567658517,17592567799232
17,15,delivery_p2,1494547404.9038928,1494547729.9666905,186.0,1580.0,17592567658517,17592567799232
18,15,delivery_p1,1494547729.9666905,1494547940.6730034,1580.0,493.0,17592567658517,17592567799232
19,4,pickup_p1,1494547299.9,1494547300.0,1040.0,1040.0,17592567762241,
20,10,pickup_p1,1494547299.9,1494547300.0,482.0,482.0,17592567673909,
21,154,pickup_p1,1494547299.9,1494547380.191116,1277.0,1173.0,17592567800467,
22,157,pickup_p1,1494547299.9,1494547495.8301961,291.0,1394.0,17592567763965,
23,206,pickup_p1,1494547299.9,1494547300.0,759.0,759.0,17592567674885,
24,4,pickup_p2,1494547309.9,1494547387.2726927,1040.0,1022.0,17592567762241,17592567865566
25,4,delivery_p2,1494547387.2726927,1494547952.5774128,1022.0,469.0,17592567762241,17592567865566
26,4,delivery_p1,1494547952.5774128,1494548204.2906342,469.0,1355.0,17592567762241,17592567865566
27,105,pickup_p1,1494547319.9,1494547322.00623,608.0,1016.0,17592567802988,
28,114,pickup_p1,1494547319.9,1494547435.2558088,485.0,1070.0,17592567868408,
29,249,pickup_p1,1494547319.9,1494547402.8758473,2636.0,2359.0,17592567867780,
30,11,pickup_p1,1494547329.9,1494547402.0253983,1750.0,1465.0,17592567868587,
31,49,pickup_p1,1494547329.9,1494547409.1382463,56.0,53.0,17592567777913,
