,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,89,pickup_p1,1493596859.9,1493596860.0,2389.0,2389.0,17592367572118,
1,9,pickup_p1,1493596879.9,1493596991.0566323,2634.0,1547.0,17592367660291,
2,38,pickup_p1,1493596879.9,1493597000.8117359,119.0,121.0,17592367575182,
3,51,pickup_p1,1493596879.9,1493597042.3448997,2678.0,3206.0,17592367561064,
4,63,pickup_p1,1493596879.9,1493596991.253813,2227.0,878.0,17592367551984,
5,102,pickup_p1,1493596909.9,1493596943.6757233,1058.0,1074.0,17592367515296,
6,102,pickup_p2,1493596919.9,1493596920.0,1074.0,1074.0,17592367515296,17592367515296
7,102,delivery_p2,1493596920.0,1493597214.3622653,1074.0,2671.0,17592367515296,17592367515296
8,102,delivery_p1,1493597214.3622653,1493597214.3622653,2671.0,2671.0,17592367515296,17592367515296
9,118,pickup_p1,1493596939.9,1493597048.6756155,1728.0,3223.0,17592367663682,
10,24,pickup_p1,1493596949.9,1493597104.9822128,1133.0,2243.0,17592367653395,
11,91,pickup_p1,1493596949.9,1493596981.1970139,3835.0,3694.0,17592367490350,
12,45,pickup_p1,1493596969.9,1493596970.0,993.0,993.0,17592367475081,
13,4,pickup_p1,1493596979.9,1493596981.1721544,2393.0,1370.0,17592367671334,
14,81,pickup_p1,1493596979.9,1493597035.1824746,1077.0,1078.0,17592367471561,
15,4,pickup_p2,1493596989.9,1493596990.0,1370.0,1370.0,17592367671334,17592367671334
16,14,pickup_p1,1493596989.9,1493597053.365836,1772.0,81.0,17592367671235,
17,30,pickup_p1,1493596989.9,1493597020.089966,185.0,194.0,17592367569051,
18,4,delivery_p2,1493596990.0,1493597740.387288,1370.0,3278.0,17592367671334,17592367671334
19,4,delivery_p1,1493597740.387288,1493597740.387288,3278.0,3278.0,17592367671334,17592367671334
20,79,pickup_p1,1493596999.9,1493597001.8846724,3435.0,2659.0,17592367524423,
21,54,pickup_p1,1493597009.9,1493597010.0,2111.0,2111.0,17592367479989,
22,121,pickup_p1,1493597009.9,1493597010.0,1823.0,1823.0,17592367672015,
23,126,pickup_p1,1493597009.9,1493597019.136012,412.0,2389.0,17592367501490,
24,126,pickup_p2,1493597019.9,1493597020.0,2389.0,2389.0,17592367501490,17592367501490
25,12,pickup_p1,1493597019.9,1493597084.281634,495.0,1555.0,17592367513363,
26,41,pickup_p1,1493597019.9,1493597081.5484965,423.0,77.0,17592367428040,
27,126,delivery_p2,1493597020.0,1493599581.754183,2389.0,3694.0,17592367501490,17592367501490
28,126,delivery_p1,1493599581.754183,1493599581.754183,3694.0,3694.0,17592367501490,17592367501490
29,52,pickup_p1,1493597029.9,1493597086.5367236,1763.0,1731.0,17592367486477,
30,111,pickup_p1,1493597029.9,1493597030.0,1050.0,1050.0,17592362254518,
31,50,pickup_p1,1493597069.9,1493597199.9394052,885.0,2390.0,17592367577020,
32,22,pickup_p1,1493597089.9,1493597215.6170454,2190.0,1327.0,17592367434294,
33,63,pickup_p2,1493597119.9,1493597120.0,878.0,878.0,17592367551984,17592367516492
34,63,delivery_p1,1493597120.0,1493597664.7324479,878.0,3370.0,17592367551984,17592367516492
35,63,delivery_p2,1493597664.7324479,1493597929.0128632,3370.0,794.0,17592367551984,17592367516492
36,78,pickup_p1,1493597129.9,1493597245.3207197,1556.0,1230.0,17592367487005,
37,114,pickup_p1,1493597129.9,1493597154.556536,1348.0,1344.0,17592367523278,
38,125,pickup_p1,1493597129.9,1493597130.0,2678.0,2678.0,17592367671090,
39,114,pickup_p2,1493597139.9,1493597140.0,1344.0,1344.0,17592367523278,17592367523278
40,28,pickup_p1,1493597139.9,1493597217.0685225,2652.0,1570.0,17592367439648,
41,43,pickup_p1,1493597139.9,1493597202.943725,633.0,630.0,17592367680990,
42,114,delivery_p2,1493597140.0,1493597778.949017,1344.0,120.0,17592367523278,17592367523278
43,114,delivery_p1,1493597778.949017,1493597778.949017,120.0,120.0,17592367523278,17592367523278
44,98,pickup_p1,1493597149.9,1493597362.371179,3283.0,81.0,17592367581362,
45,8,pickup_p1,1493597229.9,1493597357.443527,3621.0,2111.0,17592367529272,
